Fra_dato,Mængde,Måleenhed,Kvalitet,Type
01/01/2023 00.00,00.47,KWH,Målt,Tidsserie
01/01/2023 01.00,00.46,KWH,Målt,Tidsserie
01/01/2023 02.00,00.46,KWH,Målt,Tidsserie
01/01/2023 03.00,00.48,KWH,Målt,Tidsserie
01/01/2023 04.00,00.46,KWH,Målt,Tidsserie
01/01/2023 05.00,00.05,KWH,Målt,Tidsserie
01/01/2023 06.00,00.47,KWH,Målt,Tidsserie
01/01/2023 07.00,00.45,KWH,Målt,Tidsserie
01/01/2023 08.00,00.47,KWH,Målt,Tidsserie
01/01/2023 09.00,00.41,KWH,Målt,Tidsserie
01/01/2023 10.00,00.37,KWH,Målt,Tidsserie
01/01/2023 11.00,01.15,KWH,Målt,Tidsserie
01/01/2023 12.00,01.08,KWH,Målt,Tidsserie
01/01/2023 13.00,02.03,KWH,Målt,Tidsserie
01/01/2023 14.00,01.58,KWH,Målt,Tidsserie
01/01/2023 15.00,01.14,KWH,Målt,Tidsserie
01/01/2023 16.00,01.01,KWH,Målt,Tidsserie
01/01/2023 17.00,02.05,KWH,Målt,Tidsserie
01/01/2023 18.00,01.02,KWH,Målt,Tidsserie
01/01/2023 19.00,01.34,KWH,Målt,Tidsserie
01/01/2023 20.00,0.0493055555555556,KWH,Målt,Tidsserie
01/01/2023 21.00,00.52,KWH,Målt,Tidsserie
01/01/2023 22.00,00.42,KWH,Målt,Tidsserie
01/01/2023 23.00,00.41,KWH,Målt,Tidsserie
02/01/2023 00.00,00.36,KWH,Målt,Tidsserie
02/01/2023 01.00,00.25,KWH,Målt,Tidsserie
02/01/2023 02.00,00.29,KWH,Målt,Tidsserie
02/01/2023 03.00,00.26,KWH,Målt,Tidsserie
02/01/2023 04.00,00.27,KWH,Målt,Tidsserie
02/01/2023 05.00,00.26,KWH,Målt,Tidsserie
02/01/2023 06.00,00.52,KWH,Målt,Tidsserie
02/01/2023 07.00,0.0888888888888889,KWH,Målt,Tidsserie
02/01/2023 08.00,0.0604166666666667,KWH,Målt,Tidsserie
