HourUTC;HourDK;PriceArea;SpotPriceDKK;SpotPriceEUR
30/04/2023;30/04/2023;DK1;810.219.971;108.709.999
30/04/2023;30/04/2023;DK1;872.900.024;117.120.003
30/04/2023;30/04/2023;DK1;91.076.001;122.199.997
30/04/2023;30/04/2023;DK1;921.190.002;123.599.998
30/04/2023;30/04/2023;DK1;90.301.001;121.160.004
30/04/2023;30/04/2023;DK1;797.169.983;106.959.999
30/04/2023;30/04/2023;DK1;525.960.022;70.57.00
30/04/2023;30/04/2023;DK1;104.339.996;14
30/04/2023;30/04/2023;DK1;0.39375;01.19
30/04/2023;30/04/2023;DK1;-22.959.999;-3.08
30/04/2023;30/04/2023;DK1;-39.720.001;-5.33
30/04/2023;30/04/2023;DK1;-19.01;-2.55
30/04/2023;30/04/2023;DK1;42.029.999;0.252777777777778
30/04/2023;30/04/2023;DK1;206.449.997;27.700.001
30/04/2023;30/04/2023;DK1;372.649.994;50
30/04/2023;30/04/2023;DK1;55.897.998;75
30/04/2023;30/04/2023;DK1;611.150.024;82
30/04/2023;30/04/2023;DK1;63.977.002;85.839.996
30/04/2023;30/04/2023;DK1;657.880.005;88.269.997
30/04/2023;30/04/2023;DK1;637.380.005;85.519.997
30/04/2023;30/04/2023;DK1;638.049.988;85.610.001
30/04/2023;30/04/2023;DK1;658.700.012;88.379.997
29/04/2023;30/04/2023;DK1;678.890.015;91.089.996
29/04/2023;30/04/2023;DK1;739.929.993;99.279.999
29/04/2023;29/04/2023;DK1;795.280.029;106.699.997
29/04/2023;29/04/2023;DK1;805.940.002;108.129.997
29/04/2023;29/04/2023;DK1;806.530.029;108.209.999
29/04/2023;29/04/2023;DK1;782.909.973;105.040.001
29/04/2023;29/04/2023;DK1;743.700.012;99.779.999
29/04/2023;29/04/2023;DK1;663.200.012;88.980.003
29/04/2023;29/04/2023;DK1;633.539.978;85
29/04/2023;29/04/2023;DK1;566.460.022;76
29/04/2023;29/04/2023;DK1;514.659.973;69.050.003
29/04/2023;29/04/2023;DK1;493.420.013;66.199.997
29/04/2023;29/04/2023;DK1;561.169.983;75.290.001
29/04/2023;29/04/2023;DK1;612.890.015;82.230.003
29/04/2023;29/04/2023;DK1;692.200.012;92.870.003
29/04/2023;29/04/2023;DK1;772.099.976;103.589.996
29/04/2023;29/04/2023;DK1;794.609.985;106.610.001
29/04/2023;29/04/2023;DK1;861.909.973;115.639.999
29/04/2023;29/04/2023;DK1;815.400.024;109.400.002
29/04/2023;29/04/2023;DK1;76.948.999;103.239.998
29/04/2023;29/04/2023;DK1;765.840.027;102.75
29/04/2023;29/04/2023;DK1;754.580.017;101.239.998
29/04/2023;29/04/2023;DK1;782.609.985;105
29/04/2023;29/04/2023;DK1;790.809.998;106.099.998
28/04/2023;29/04/2023;DK1;809.140.015;108.559.998
28/04/2023;29/04/2023;DK1;861.539.978;115.589.996
28/04/2023;28/04/2023;DK1;786.140.015;105.480.003
28/04/2023;28/04/2023;DK1;869.830.017;116.709.999
28/04/2023;28/04/2023;DK1;926.700.012;124.339.996
28/04/2023;28/04/2023;DK1;934.599.976;125.400.002
28/04/2023;28/04/2023;DK1;894.650.024;120.040.001
28/04/2023;28/04/2023;DK1;860.219.971;115.419.998
28/04/2023;28/04/2023;DK1;747.080.017;100.239.998
28/04/2023;28/04/2023;DK1;675.309.998;90.610.001
28/04/2023;28/04/2023;DK1;663.309.998;89
28/04/2023;28/04/2023;DK1;672.179.993;90.190.002
28/04/2023;28/04/2023;DK1;693.789.978;93.089.996
28/04/2023;28/04/2023;DK1;760.570.007;102.050.003
28/04/2023;28/04/2023;DK1;791.280.029;106.169.998
28/04/2023;28/04/2023;DK1;84.352.002;113.18.00
28/04/2023;28/04/2023;DK1;89.948.999;120.690.002
28/04/2023;28/04/2023;DK1;945.109.985;126.809.998
28/04/2023;28/04/2023;DK1;922.820.007;123.82
28/04/2023;28/04/2023;DK1;847.919.983;113.769.997
