Fra_dato;Mængde;Måleenhed;Kvalitet;Type
01/01/2023 00.00;05.06;KWH;Målt;Tidsserie
01/01/2023 01.00;03.03;KWH;Målt;Tidsserie
01/01/2023 02.00;05.03;KWH;Målt;Tidsserie
01/01/2023 03.00;02.01;KWH;Målt;Tidsserie
01/01/2023 04.00;06.08;KWH;Målt;Tidsserie
01/01/2023 05.00;01.05;KWH;Målt;Tidsserie
01/01/2023 06.00;7;KWH;Målt;Tidsserie
01/01/2023 07.00;00.08;KWH;Målt;Tidsserie
01/01/2023 08.00;06.06;KWH;Målt;Tidsserie
01/01/2023 09.00;03.04;KWH;Målt;Tidsserie
01/01/2023 10.00;08.04;KWH;Målt;Tidsserie
01/01/2023 11.00;04.05;KWH;Målt;Tidsserie
01/01/2023 12.00;03.05;KWH;Målt;Tidsserie
01/01/2023 13.00;9;KWH;Målt;Tidsserie
01/01/2023 14.00;05.09;KWH;Målt;Tidsserie
01/01/2023 15.00;07.09;KWH;Målt;Tidsserie
01/01/2023 16.00;00.06;KWH;Målt;Tidsserie
01/01/2023 17.00;08.04;KWH;Målt;Tidsserie
01/01/2023 18.00;03.03;KWH;Målt;Tidsserie
01/01/2023 19.00;12.03;KWH;Målt;Tidsserie
01/01/2023 20.00;02.05;KWH;Målt;Tidsserie
01/01/2023 21.00;09.01;KWH;Målt;Tidsserie
01/01/2023 22.00;03.05;KWH;Målt;Tidsserie
01/01/2023 23.00;07.06;KWH;Målt;Tidsserie
02/01/2023 00.00;01.03;KWH;Målt;Tidsserie
02/01/2023 01.00;07.08;KWH;Målt;Tidsserie
02/01/2023 02.00;00.07;KWH;Målt;Tidsserie
02/01/2023 03.00;07.03;KWH;Målt;Tidsserie
02/01/2023 04.00;01.05;KWH;Målt;Tidsserie
02/01/2023 05.00;06.09;KWH;Målt;Tidsserie
02/01/2023 06.00;01.06;KWH;Målt;Tidsserie
02/01/2023 07.00;05.04;KWH;Målt;Tidsserie
02/01/2023 08.00;3;KWH;Målt;Tidsserie
02/01/2023 09.00;05.04;KWH;Målt;Tidsserie
02/01/2023 10.00;05.05;KWH;Målt;Tidsserie
02/01/2023 11.00;03.02;KWH;Målt;Tidsserie
02/01/2023 12.00;04.04;KWH;Målt;Tidsserie
02/01/2023 13.00;2;KWH;Målt;Tidsserie
